image_id,image_filename,country,source,category,contains_leaf,leaf_visibility,health_observable,usable_for_cropping,notes
BH_156,20251227_092559.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,
BH_157,20251227_092720.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,
BH_158,20251227_092513.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,"head of leaf is diplayed, from top photo"
BH_159,20251227_092647.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,"mainly unhealthy leaves, medium resolution"
BH_160,20251227_092229.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_161,20251227_092756.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,medium resolution
BH_162,20251227_092446.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,medium resolution
BH_163,20251227_092456.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_164,20251227_092643.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,"mainly unhealthy leaves, medium resolution"
BH_165,20251227_092714.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,no,low resolution
BH_166,20251227_092641.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,no,low-medium resolution
BH_167,20251227_092835.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_168,20251227_092801.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_169,20251227_092605.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,medium resolution
BH_170,20251227_092222.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_171,20251227_092414.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,medium resolution
BH_172,20251227_092402.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,medium resolution
BH_173,20251227_092240.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,"high resolution, hand fingers visible"
BH_174,20251227_092830.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_175,20251227_092754.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,
BH_176,20251227_092234.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_177,20251227_092321.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,no,low-medium resolution
BH_178,20251227_092612.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,medium resolution
BH_179,20251227_094131.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_180,20251227_092438.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,medium resolution
BH_181,20251227_092355.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,medium resolution
BH_182,20251227_093247.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_183,20251227_092324.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,no,low-medium resolution
BH_184,20251227_092653.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,medium resolution
BH_185,20251227_092657.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,no,low resolution
BH_186,20251227_092749.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_187,20251227_092827.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,unhealthy leaf
BH_188,20251227_092822.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,unhealthy leaf
BH_189,20251227_093150.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_190,20251227_093143.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_191,20251227_093235.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,
